Kenya,CECAFA Championship
Kenya,COSAFA Championship
Kenya,Friendly
Kenya,Pink Ladies Cup
Kenya,Turkish Women's Cup
Kiribati,Pacific Games
Kosovo,FIFA World Cup qualification
Kosovo,Friendly
Kosovo,Turkish Women's Cup
Kosovo,UEFA Euro qualification
Kosovo,UEFA Nations League
Kuwait,AFC Asian Cup qualification
Kuwait,WAFF Championship
Kyrgyzstan,AFC Asian Cup qualification
Kyrgyzstan,AFC Olympic Qualifying Tournament
Kyrgyzstan,CAFA Championship
Kyrgyzstan,Friendly
Kyrgyzstan,International Women's Championship
Laos,AFC Asian Cup qualification
Laos,AFC Olympic Qualifying Tournament
Laos,AFF Championship
Laos,AFF Women's Cup
Laos,Friendly
Laos,SAFF Women's Friendly Tournament
Laos,Southeast Asian Games
Latvia,Aphrodite Cup
Latvia,Baltic Cup
Latvia,FIFA World Cup qualification
Latvia,Friendly
Latvia,Turkish Women's Cup
Latvia,UEFA Euro qualification
Latvia,UEFA Nations League
Lebanon,AFC Asian Cup qualification
Lebanon,AFC Olympic Qualifying Tournament
Lebanon,Aphrodite Cup
Lebanon,Arab Championship
Lebanon,Arab Cup
Lebanon,Armenia International Friendly Tournament
Lebanon,Friendly
Lebanon,International Women's Championship
Lebanon,SAFF Women's Friendly Tournament
Lebanon,WAFF Championship
Lesotho,African Championship qualification
Lesotho,African Cup of Nations qualification
Lesotho,COSAFA Championship
Lesotho,Friendly
Liberia,African Cup of Nations qualification
Liberia,WAFU Zone A Cup
Libya,African Cup of Nations qualification
Libya,FIFA Unites Women's Series
Liechtenstein,Friendly
Liechtenstein,UEFA Nations League
Lithuania,Aphrodite Cup
Lithuania,Armenia International Friendly Tournament
Lithuania,Baltic Cup
Lithuania,FIFA World Cup qualification
Lithuania,Friendly
Lithuania,Turkish Women's Cup
Lithuania,UEFA Euro qualification
Lithuania,UEFA Nations League
Luxembourg,FIFA World Cup qualification
Luxembourg,Friendly
Luxembourg,UEFA Euro qualification
Luxembourg,UEFA Nations League
Macau,EAFF E-1 Championship
Macau,EAFF E-1 Championship qualification
Macedonia,FIFA World Cup qualification
Macedonia,UEFA Euro qualification
Madagascar,COSAFA Championship
Madagascar,Indian Ocean Island Games
Malawi,African Championship qualification
Malawi,African Cup of Nations qualification
Malawi,CAF Olympic Qualifying Tournament
Malawi,COSAFA Championship
Malawi,Friendly
Malaysia,AFC Asian Cup qualification
Malaysia,AFC Championship
Malaysia,AFF Championship
Malaysia,AFF Women's Cup
Malaysia,Friendly
Malaysia,SAFF Women's Friendly Tournament
Malaysia,Southeast Asian Games
Malaysia,Tri-Nation Cup
Maldives,AFC Asian Cup qualification
Maldives,AFC Olympic Qualifying Tournament
Maldives,AFF Championship
Maldives,Asian Games
Maldives,Friendly
